id;id_catena;nome;id_comune;indirizzo;id_capo_equipe
444;13;MAXI SCONTO L. B. ;84031;VIA FANACO;275
445;13;EUROSALUMI;84031;VIA OLIMPICA;276
446;13;CORTE ANTICA;84031;C.SO GARIBALDI;277
447;45;CONAD MARGHERITA;84031;C.SO GARIBALDI;278
448;189;SIGMA;84031;PIAZZA XXV APRILE;279
449;192;SISA;84031;VIA LAURICELLA;280
450;13;MAX SUPERMERCATI;85015;V.LE DON BOSCO 53;281
451;13;MAX SUPERMERCATI;85015;VIA CARLO ALBERTO 31;282
452;45;CONAD;85015;CONTRADA OLIVA;283
453;96;FORTE';85015;VIALE EUROPA;284
454;192;SISA;85015;VIALE DON BOSCO 9;285
455;13;C.M:;85016;VIALE DEI PLATANI 92;286
456;13;FRESCO DI';85016;PIAZZA RISORGIMENTO 16;286
457;145;MD DISCOUNT;85016;CONTRADA BABBAURRA;286
458;13;COSTO ZERO;85017;VIA F. CRISPI ;287
459;13;GIANGRECO ANDREA;85017;VIA MICHELE CAPRA,11;288
460;13;SUPERMERCATO DI BELLA;85017;VIA ROMA,99;289
461;13;RIZZA LORENZO;85017;VIA GALLINA,47;290
462;33;CARREFOUR EXPRESS;85018;VIALE DELLA REGIONE 32;291
463;45;CONAD;85018;VIA ROMA 35;291
464;192;SISA-FRESCO DI';85018;VIA CAV. DI VITTORIO VENETO 13;291
465;18;ARD DISCOUNT;85019;CDA BRUCA SNC;292
466;62;DESPAR;85019;VIA MOLISE 12;293
467;192;SISA F.LLI  DROGO;85019;VIA XX SETTEMBRE,9;294
468;192;SISA F.LLI DROGO;85019;VIA DIAZ,12;295
469;192;SISA;85021;VIA NAZIONALE 24-28;296
470;12;EDERA;85021;VIA C/DA TUMARRANO;297
471;45;Conad;87005;VIA MARCHESANA 50;298
472;74;Despar;87005;Via De Felice 22;299
473;82;Eurospin;87005;VIA ALDO MORO 43;300
474;158;PAM;87005;VIA A. MORO 65;301
475;158;PAM;87005;VIA LANZA 84;302
476;30;SPACCIO ALIMENTARE;87005;VIA SANT'ONOFRIO 13;303
477;45;Conad;87003;VIA SANTI BONACCORSI 2;304
478;45;Todis;87003;Via IV Novembre 117;305
479;179; A&O;87003;VIA VAMPOLIERI 9 L;306
480;127;MD;87003;Via Ettore Majorana, 19;307
481;110;Sidis;87004;VIA VITTORIO EMANUELE 180;308
482;45;Conad;87004;via sutera 35;309
483;127;MD;87004;Via Alessandro Volta, 7;309
484;82;Eurospin;87004;VIA LAZZARETTO 20;310
485;111;Iper Simply;87004;VIA MADONNA DELLE GRAZIE SNC;311
486;158;Paghi Poco;87004;VIA SALVATORE VIGO 99/101;312
487;158;PAM;87004;VIA SALVATORE VIGO 132/A;313
488;179;Ard Discount;87004;VIA CRISTOFORO COLOMBO 39;314
